
✅ hippocampus_389.nii.gz: img max=1.0000, lbl sum=4131
Batch 101. Data shape torch.Size([8, 1, 64, 64]) Loss 0.011545604094862938
Batch 101 Loss 0.011545604094862938
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 102. Data shape torch.Size([8, 1, 64, 64]) Loss 0.011884170584380627
Batch 102 Loss 0.011884170584380627
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 103. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0002332600561203435
Batch 103 Loss 0.0002332600561203435
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 104. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0106952590867877
Batch 104 Loss 0.0106952590867877
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 105. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00988931767642498
Batch 105 Loss 0.00988931767642498
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 106. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0006923312903381884
Batch 106 Loss 0.0006923312903381884
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 107. Data shape torch.Size([8, 1, 64, 64]) Loss 0.014686967246234417
Batch 107 Loss 0.014686967246234417
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 108. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0099638095125556
Batch 108 Loss 0.0099638095125556
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 109. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00039112201193347573
Batch 109 Loss 0.00039112201193347573
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 110. Data shape torch.Size([8, 1, 64, 64]) Loss 0.012765001505613327
Batch 110 Loss 0.012765001505613327
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 111. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010943382047116756
Batch 111 Loss 0.010943382047116756
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 112. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008524258621037006
Batch 112 Loss 0.008524258621037006
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 113. Data shape torch.Size([8, 1, 64, 64]) Loss 1.8514816474635154e-05
Batch 113 Loss 1.8514816474635154e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Validation complete
Training epoch 2...

Epoch: 2 Train loss: 0.01006740890443325, 0.1% complete
..........
Epoch: 2 Train loss: 0.008481468074023724, 1.2% complete
..........
Epoch: 2 Train loss: 0.0077416859567165375, 2.3% complete
..........
Epoch: 2 Train loss: 0.014943367801606655, 3.4% complete
..........
Epoch: 2 Train loss: 0.0032163311261683702, 4.4% complete
..........
Epoch: 2 Train loss: 0.00014156464021652937, 5.5% complete
..........
Epoch: 2 Train loss: 0.012744386680424213, 6.6% complete
..........
Epoch: 2 Train loss: 0.007010674104094505, 7.7% complete
..........
Epoch: 2 Train loss: 0.00711054215207696, 8.8% complete
..........
Epoch: 2 Train loss: 3.127413219772279e-05, 9.9% complete
..........
Epoch: 2 Train loss: 2.5166591512970626e-05, 11.0% complete
..........
Epoch: 2 Train loss: 0.010824798606336117, 12.0% complete
..........
Epoch: 2 Train loss: 0.00012582034105435014, 13.1% complete
..........
Epoch: 2 Train loss: 0.006040956359356642, 14.2% complete
..........
Epoch: 2 Train loss: 6.337489321595058e-05, 15.3% complete
..........
Epoch: 2 Train loss: 0.0013907436514273286, 16.4% complete
..........
Epoch: 2 Train loss: 0.004725034814327955, 17.5% complete
..........
Epoch: 2 Train loss: 0.01158409658819437, 18.5% complete
..........
Epoch: 2 Train loss: 0.011500459164381027, 19.6% complete
..........
Epoch: 2 Train loss: 2.4479777493979782e-05, 20.7% complete
..........
Epoch: 2 Train loss: 0.0008115200907923281, 21.8% complete
..........
Epoch: 2 Train loss: 0.008342630229890347, 22.9% complete
..........
Epoch: 2 Train loss: 0.00034676550421863794, 24.0% complete
..........
Epoch: 2 Train loss: 0.007329393643885851, 25.1% complete
..........
Epoch: 2 Train loss: 0.00016851162945386022, 26.1% complete
..........
Epoch: 2 Train loss: 0.00047976558562368155, 27.2% complete
..........
Epoch: 2 Train loss: 0.002717579947784543, 28.3% complete
..........
Epoch: 2 Train loss: 6.443662277888507e-05, 29.4% complete
..........
Epoch: 2 Train loss: 0.01775851845741272, 30.5% complete
..........
Epoch: 2 Train loss: 0.00036966826883144677, 31.6% complete
..........
Epoch: 2 Train loss: 0.0047525325790047646, 32.6% complete
..........
Epoch: 2 Train loss: 4.960643855156377e-05, 33.7% complete
..........
Epoch: 2 Train loss: 0.0009613882866688073, 34.8% complete
..........
Epoch: 2 Train loss: 0.008152171038091183, 35.9% complete
..........
Epoch: 2 Train loss: 0.0025990880094468594, 37.0% complete
..........
Epoch: 2 Train loss: 0.004123340360820293, 38.1% complete
..........
Epoch: 2 Train loss: 0.00012864850577898324, 39.2% complete
..........
Epoch: 2 Train loss: 1.981211971724406e-05, 40.2% complete
..........
Epoch: 2 Train loss: 0.0007060084026306868, 41.3% complete
..........
Epoch: 2 Train loss: 0.011791442520916462, 42.4% complete
..........
Epoch: 2 Train loss: 1.748502836562693e-05, 43.5% complete
..........
Epoch: 2 Train loss: 0.0006518370355479419, 44.6% complete
..........
Epoch: 2 Train loss: 0.0211501382291317, 45.7% complete
..........
Epoch: 2 Train loss: 0.011048992164433002, 46.7% complete
..........
Epoch: 2 Train loss: 0.006302314344793558, 47.8% complete
..........
Epoch: 2 Train loss: 0.011644426733255386, 48.9% complete
..........
Epoch: 2 Train loss: 0.01250561885535717, 50.0% complete
..........
Epoch: 2 Train loss: 0.002775175031274557, 51.1% complete
..........
Epoch: 2 Train loss: 0.0020929777529090643, 52.2% complete
..........
Epoch: 2 Train loss: 0.01039388868957758, 53.3% complete
..........
Epoch: 2 Train loss: 0.0001833142596296966, 54.3% complete
..........
Epoch: 2 Train loss: 7.436706073349342e-05, 55.4% complete
..........
Epoch: 2 Train loss: 0.011533786542713642, 56.5% complete
..........
Epoch: 2 Train loss: 0.0002947875182144344, 57.6% complete
..........
Epoch: 2 Train loss: 4.375467688078061e-05, 58.7% complete
..........
Epoch: 2 Train loss: 0.009741510264575481, 59.8% complete
..........
Epoch: 2 Train loss: 4.9774200306274e-05, 60.8% complete
..........
Epoch: 2 Train loss: 0.009649094194173813, 61.9% complete
..........
Epoch: 2 Train loss: 0.0046623037196695805, 63.0% complete
..........
Epoch: 2 Train loss: 0.01044534519314766, 64.1% complete
..........
Epoch: 2 Train loss: 0.012723112478852272, 65.2% complete
..........
Epoch: 2 Train loss: 0.0034836120903491974, 66.3% complete
..........
Epoch: 2 Train loss: 4.338275175541639e-05, 67.4% complete
..........
Epoch: 2 Train loss: 0.01292463205754757, 68.4% complete
..........
Epoch: 2 Train loss: 1.1436306522227824e-05, 69.5% complete
..........
Epoch: 2 Train loss: 1.5197729226201773e-05, 70.6% complete
..........
Epoch: 2 Train loss: 0.008943729102611542, 71.7% complete
..........
Epoch: 2 Train loss: 0.0001534409384476021, 72.8% complete
..........
Epoch: 2 Train loss: 0.013982439413666725, 73.9% complete
..........
Epoch: 2 Train loss: 0.0026343590579926968, 74.9% complete
..........
Epoch: 2 Train loss: 0.003984010312706232, 76.0% complete
..........
Epoch: 2 Train loss: 0.011827128939330578, 77.1% complete
..........
Epoch: 2 Train loss: 0.01260529924184084, 78.2% complete
..........
Epoch: 2 Train loss: 0.00028006150387227535, 79.3% complete
..........
Epoch: 2 Train loss: 0.0021252299193292856, 80.4% complete
..........
Epoch: 2 Train loss: 0.005722597241401672, 81.5% complete
..........
Epoch: 2 Train loss: 0.0012696731137111783, 82.5% complete
..........
Epoch: 2 Train loss: 0.003913617692887783, 83.6% complete
..........
Epoch: 2 Train loss: 0.004821861162781715, 84.7% complete
..........
Epoch: 2 Train loss: 0.009887082502245903, 85.8% complete
..........
Epoch: 2 Train loss: 0.008134143427014351, 86.9% complete
..........
Epoch: 2 Train loss: 0.0032362686470150948, 88.0% complete
..........
Epoch: 2 Train loss: 7.145878043957055e-06, 89.0% complete
..........
Epoch: 2 Train loss: 5.017333023715764e-06, 90.1% complete
..........
Epoch: 2 Train loss: 0.011860783211886883, 91.2% complete
..........
Epoch: 2 Train loss: 0.0059697628021240234, 92.3% complete
..........
Epoch: 2 Train loss: 3.244700201321393e-05, 93.4% complete
..........
Epoch: 2 Train loss: 0.006969769485294819, 94.5% complete
..........
Epoch: 2 Train loss: 0.006410720758140087, 95.6% complete
..........
Epoch: 2 Train loss: 0.006439455784857273, 96.6% complete
..........
Epoch: 2 Train loss: 0.008721834979951382, 97.7% complete
..........
Epoch: 2 Train loss: 1.3722466974286363e-05, 98.8% complete
..........
Epoch: 2 Train loss: 8.80412699189037e-06, 99.9% complete
..
Training complete
Validating epoch 2...
Batch 0. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0002517850080039352
Batch 0 Loss 0.0002517850080039352
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 1. Data shape torch.Size([8, 1, 64, 64]) Loss 0.005174702033400536
Batch 1 Loss 0.005174702033400536
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 2. Data shape torch.Size([8, 1, 64, 64]) Loss 1.3671560736838728e-05
Batch 2 Loss 1.3671560736838728e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 3. Data shape torch.Size([8, 1, 64, 64]) Loss 8.415445336140692e-06
Batch 3 Loss 8.415445336140692e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 4. Data shape torch.Size([8, 1, 64, 64]) Loss 8.383781096199527e-05
Batch 4 Loss 8.383781096199527e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 5. Data shape torch.Size([8, 1, 64, 64]) Loss 0.01019095815718174
Batch 5 Loss 0.01019095815718174
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 6. Data shape torch.Size([8, 1, 64, 64]) Loss 1.607951708137989e-05
Batch 6 Loss 1.607951708137989e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 7. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0059152995236217976
Batch 7 Loss 0.0059152995236217976
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 8. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008435009978711605
Batch 8 Loss 0.008435009978711605
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 9. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00014808852574788034
Batch 9 Loss 0.00014808852574788034
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 10. Data shape torch.Size([8, 1, 64, 64]) Loss 5.817048077005893e-06
Batch 10 Loss 5.817048077005893e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 11. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0109848752617836
Batch 11 Loss 0.0109848752617836
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 12. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008839544840157032
Batch 12 Loss 0.008839544840157032
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 13. Data shape torch.Size([8, 1, 64, 64]) Loss 0.006073383614420891
Batch 13 Loss 0.006073383614420891
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 14. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00933551974594593
Batch 14 Loss 0.00933551974594593
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 15. Data shape torch.Size([8, 1, 64, 64]) Loss 7.1284084697254e-06
Batch 15 Loss 7.1284084697254e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 16. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008621971122920513
Batch 16 Loss 0.008621971122920513
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 17. Data shape torch.Size([8, 1, 64, 64]) Loss 5.499699909705669e-05
Batch 17 Loss 5.499699909705669e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 18. Data shape torch.Size([8, 1, 64, 64]) Loss 0.01205719355493784
Batch 18 Loss 0.01205719355493784
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 19. Data shape torch.Size([8, 1, 64, 64]) Loss 7.455091690644622e-06
Batch 19 Loss 7.455091690644622e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 20. Data shape torch.Size([8, 1, 64, 64]) Loss 0.02048277109861374
Batch 20 Loss 0.02048277109861374
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 21. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00767772551625967
Batch 21 Loss 0.00767772551625967
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 22. Data shape torch.Size([8, 1, 64, 64]) Loss 8.417446224484593e-06
Batch 22 Loss 8.417446224484593e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 23. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00441389437764883
Batch 23 Loss 0.00441389437764883
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 24. Data shape torch.Size([8, 1, 64, 64]) Loss 2.092314389301464e-05
Batch 24 Loss 2.092314389301464e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 25. Data shape torch.Size([8, 1, 64, 64]) Loss 6.53426832286641e-06
Batch 25 Loss 6.53426832286641e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 26. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010393436998128891
Batch 26 Loss 0.010393436998128891
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 27. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00806458666920662
Batch 27 Loss 0.00806458666920662
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 28. Data shape torch.Size([8, 1, 64, 64]) Loss 0.004628248978406191
Batch 28 Loss 0.004628248978406191
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 29. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0060314456932246685
Batch 29 Loss 0.0060314456932246685
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 30. Data shape torch.Size([8, 1, 64, 64]) Loss 0.011603489518165588
Batch 30 Loss 0.011603489518165588
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 31. Data shape torch.Size([8, 1, 64, 64]) Loss 0.009607614949345589
Batch 31 Loss 0.009607614949345589
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 32. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0016962038353085518
Batch 32 Loss 0.0016962038353085518
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 33. Data shape torch.Size([8, 1, 64, 64]) Loss 4.356377758085728e-06
Batch 33 Loss 4.356377758085728e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 34. Data shape torch.Size([8, 1, 64, 64]) Loss 8.77447018865496e-06
Batch 34 Loss 8.77447018865496e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 35. Data shape torch.Size([8, 1, 64, 64]) Loss 8.66615300765261e-06
Batch 35 Loss 8.66615300765261e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 36. Data shape torch.Size([8, 1, 64, 64]) Loss 1.0381481843069196e-05
Batch 36 Loss 1.0381481843069196e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 37. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010495862923562527
Batch 37 Loss 0.010495862923562527
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 38. Data shape torch.Size([8, 1, 64, 64]) Loss 0.01055942289531231
Batch 38 Loss 0.01055942289531231
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 39. Data shape torch.Size([8, 1, 64, 64]) Loss 0.003983417060226202
Batch 39 Loss 0.003983417060226202
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 40. Data shape torch.Size([8, 1, 64, 64]) Loss 0.007760690525174141
Batch 40 Loss 0.007760690525174141
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 41. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0044110179878771305
Batch 41 Loss 0.0044110179878771305
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 42. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008477611467242241
Batch 42 Loss 0.008477611467242241
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 43. Data shape torch.Size([8, 1, 64, 64]) Loss 0.006749536842107773
Batch 43 Loss 0.006749536842107773
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 44. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0018247680272907019
Batch 44 Loss 0.0018247680272907019
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 45. Data shape torch.Size([8, 1, 64, 64]) Loss 6.855545507278293e-06
Batch 45 Loss 6.855545507278293e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 46. Data shape torch.Size([8, 1, 64, 64]) Loss 6.828304321970791e-06
Batch 46 Loss 6.828304321970791e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 47. Data shape torch.Size([8, 1, 64, 64]) Loss 0.009029775857925415
Batch 47 Loss 0.009029775857925415
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 48. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010529149323701859
Batch 48 Loss 0.010529149323701859
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 49. Data shape torch.Size([8, 1, 64, 64]) Loss 0.005704366602003574
Batch 49 Loss 0.005704366602003574
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 50. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00011011934111593291
Batch 50 Loss 0.00011011934111593291
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 51. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00922524556517601
Batch 51 Loss 0.00922524556517601
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 52. Data shape torch.Size([8, 1, 64, 64]) Loss 1.1220035958103836e-05
Batch 52 Loss 1.1220035958103836e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 53. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0017849262803792953
Batch 53 Loss 0.0017849262803792953
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 54. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008299726992845535
Batch 54 Loss 0.008299726992845535
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 55. Data shape torch.Size([8, 1, 64, 64]) Loss 0.011762834154069424
Batch 55 Loss 0.011762834154069424
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 56. Data shape torch.Size([8, 1, 64, 64]) Loss 6.519599992316216e-06
Batch 56 Loss 6.519599992316216e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 57. Data shape torch.Size([8, 1, 64, 64]) Loss 2.2900727344676852e-05
Batch 57 Loss 2.2900727344676852e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 58. Data shape torch.Size([8, 1, 64, 64]) Loss 0.007829898968338966
Batch 58 Loss 0.007829898968338966
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 59. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010923873633146286
Batch 59 Loss 0.010923873633146286
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 60. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0008064295398071408
Batch 60 Loss 0.0008064295398071408
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 61. Data shape torch.Size([8, 1, 64, 64]) Loss 0.013801692984998226
Batch 61 Loss 0.013801692984998226
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 62. Data shape torch.Size([8, 1, 64, 64]) Loss 0.007449508644640446
Batch 62 Loss 0.007449508644640446
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 63. Data shape torch.Size([8, 1, 64, 64]) Loss 0.005442156456410885
Batch 63 Loss 0.005442156456410885
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 64. Data shape torch.Size([8, 1, 64, 64]) Loss 0.005148288793861866
Batch 64 Loss 0.005148288793861866
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 65. Data shape torch.Size([8, 1, 64, 64]) Loss 0.005527186673134565
Batch 65 Loss 0.005527186673134565
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 66. Data shape torch.Size([8, 1, 64, 64]) Loss 0.003861164441332221
Batch 66 Loss 0.003861164441332221
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 67. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0036853489000350237
Batch 67 Loss 0.0036853489000350237
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 68. Data shape torch.Size([8, 1, 64, 64]) Loss 1.6789344954304397e-05
Batch 68 Loss 1.6789344954304397e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 69. Data shape torch.Size([8, 1, 64, 64]) Loss 8.226634236052632e-06
Batch 69 Loss 8.226634236052632e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 70. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0091328676789999
Batch 70 Loss 0.0091328676789999
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 71. Data shape torch.Size([8, 1, 64, 64]) Loss 9.384937584400177e-06
Batch 71 Loss 9.384937584400177e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 72. Data shape torch.Size([8, 1, 64, 64]) Loss 0.005120014306157827
Batch 72 Loss 0.005120014306157827
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 73. Data shape torch.Size([8, 1, 64, 64]) Loss 4.72195097245276e-06
Batch 73 Loss 4.72195097245276e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 74. Data shape torch.Size([8, 1, 64, 64]) Loss 3.7006619095336646e-05
Batch 74 Loss 3.7006619095336646e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 75. Data shape torch.Size([8, 1, 64, 64]) Loss 5.64849324291572e-06
Batch 75 Loss 5.64849324291572e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 76. Data shape torch.Size([8, 1, 64, 64]) Loss 5.138965207152069e-06
Batch 76 Loss 5.138965207152069e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 77. Data shape torch.Size([8, 1, 64, 64]) Loss 6.41780934529379e-06
Batch 77 Loss 6.41780934529379e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 78. Data shape torch.Size([8, 1, 64, 64]) Loss 0.015285094268620014
Batch 78 Loss 0.015285094268620014
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 79. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010828492231667042
Batch 79 Loss 0.010828492231667042
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 80. Data shape torch.Size([8, 1, 64, 64]) Loss 4.421155608724803e-06
Batch 80 Loss 4.421155608724803e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 81. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008930675685405731
Batch 81 Loss 0.008930675685405731
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 82. Data shape torch.Size([8, 1, 64, 64]) Loss 0.009747355245053768
Batch 82 Loss 0.009747355245053768
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 83. Data shape torch.Size([8, 1, 64, 64]) Loss 1.4246332284528762e-05
Batch 83 Loss 1.4246332284528762e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 84. Data shape torch.Size([8, 1, 64, 64]) Loss 5.9821832110174e-06
Batch 84 Loss 5.9821832110174e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 85. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00959642231464386
Batch 85 Loss 0.00959642231464386
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 86. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010004050098359585
Batch 86 Loss 0.010004050098359585
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 87. Data shape torch.Size([8, 1, 64, 64]) Loss 0.009177573956549168
Batch 87 Loss 0.009177573956549168
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 88. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010685665532946587
Batch 88 Loss 0.010685665532946587
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 89. Data shape torch.Size([8, 1, 64, 64]) Loss 5.098489054944366e-06
Batch 89 Loss 5.098489054944366e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 90. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008621563203632832
Batch 90 Loss 0.008621563203632832
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 91. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0036752752494066954
Batch 91 Loss 0.0036752752494066954
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 92. Data shape torch.Size([8, 1, 64, 64]) Loss 4.659654223360121e-06
Batch 92 Loss 4.659654223360121e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 93. Data shape torch.Size([8, 1, 64, 64]) Loss 9.238709753844887e-05
Batch 93 Loss 9.238709753844887e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 94. Data shape torch.Size([8, 1, 64, 64]) Loss 6.89276130287908e-05
Batch 94 Loss 6.89276130287908e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 95. Data shape torch.Size([8, 1, 64, 64]) Loss 6.130976544227451e-06
Batch 95 Loss 6.130976544227451e-06
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 96. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008733577094972134
Batch 96 Loss 0.008733577094972134
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 97. Data shape torch.Size([8, 1, 64, 64]) Loss 7.675762026337907e-05
Batch 97 Loss 7.675762026337907e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 98. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008609660901129246
Batch 98 Loss 0.008609660901129246
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 99. Data shape torch.Size([8, 1, 64, 64]) Loss 1.1964693840127438e-05
Batch 99 Loss 1.1964693840127438e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 100. Data shape torch.Size([8, 1, 64, 64]) Loss 0.002860742388293147
Batch 100 Loss 0.002860742388293147
target unique values: [0 2]
prediction softmax sample: [1. 0. 0.]
Batch 101. Data shape torch.Size([8, 1, 64, 64]) Loss 0.015802189707756042
Batch 101 Loss 0.015802189707756042
target unique values: [0 1 2]
